# VehicleDB fuzzy match log
# Формат: score | нация/имя_в_статистике -> identifier_в_vehicles.json
# Чтобы исправить: добавьте запись в dataset/aliases.json:
#   { "нация/имя_в_статистике": "правильный_identifier" }

score=0.667 | Italy/CM52 -> it_fiat_cm52
score=0.667 | Italy/R3T106FA -> it_oto_r3_t20_fa
score=0.737 | Italy/R3T20FA-HS -> it_oto_r3_t20_fa
score=0.769 | Italy/Csaba -> it_39m_csaba
score=0.769 | Italy/CentauroI105 -> it_centauro_mgs_120
score=0.800 | Italy/ToldiIIA -> it_toldi_II_a
score=0.667 | Italy/75/32M41 -> it_t_72m1
score=0.706 | Italy/ZrinyiI -> it_44m_zrinyi_1
score=0.769 | Italy/Dardo -> it_dardo_vcc
score=0.778 | Italy/SIDAM25(Mistral) -> it_otobreda_sidam_25_mistral
score=0.667 | Italy/VCC-80/30 -> it_vcc_80_hitfist_30
score=0.727 | Italy/M13/40(II) -> it_m15_42
score=0.741 | Italy/CentauroI105R -> it_centauro_mgs_120
score=0.750 | Italy/CelereSahariano -> it_sahariano
score=0.737 | Italy/FrecciaOWS30 -> it_freccia
score=0.667 | Japan/▅M24 -> jp_m44
score=0.667 | Japan/Chi-Nu -> jp_type_3_chi_nu
score=0.778 | Japan/Type90(B)""Fuji -> jp_type_90b
score=0.667 | Japan/Chi-To -> jp_type_4_chi_to
score=0.783 | Japan/Chi-ToLate -> jp_type_4_chi_to_late
score=0.667 | Japan/Chi-He -> jp_type_1_chi_he
score=0.667 | Japan/Chi-Ha -> jp_hiro_sha
score=0.667 | Japan/Ka-Chi -> jp_type_3_ka_chi
score=0.667 | Japan/Chi-Ri -> jp_type_5_chi_ri
score=0.667 | Japan/▅M42 -> jp_m44
score=0.708 | Japan/▅M41A1 -> me-410a-1
score=0.800 | Japan/Type75SPH -> jp_type_75
score=0.750 | Japan/▅M19A1 -> jp_m19
score=0.667 | Japan/▅M47 -> jp_m44
score=0.750 | Japan/STB-2 -> jp_st_b1
score=0.714 | Japan/SUB-I-II -> jp_sub_i_ii_20mm
score=0.727 | Japan/TKX(P) -> jp_tkx_prot
score=0.800 | Japan/Type16(FPS) -> jp_type_16
score=0.769 | Japan/Type81(C) -> jp_type_89
score=0.680 | Japan/▄M163 -> me-163b
score=0.706 | Japan/Type24ICV(P) -> jp_type_74_c
score=0.737 | Japan/Type25RCV(P) -> jp_type_87_rcv
score=0.812 | Japan/Ha-GoCommander -> jp_type_95_ha_go_commander
score=0.700 | Japan/Type03(TADS) -> jp_type_98_ta_se
score=0.680 | Sweden/M24DK -> mi_24d
score=0.727 | Sweden/PvkvII -> sw_pvkv_III
score=0.750 | Sweden/Spjfm/43-44 -> sw_stormpjas_fm43_44
score=0.800 | Sweden/ShermanIII/IV -> sw_sherman_3_4
score=0.778 | Sweden/Strvm/42DT -> sw_strv_m42_eh
score=0.737 | Sweden/Lvtdgbm/40 -> sw_tgdgb_m40_lv
score=0.800 | Sweden/LagoI -> sw_lago_1
score=0.667 | Sweden/▄T-34-85 -> sw_t_34_85_zis_53
score=0.727 | Sweden/PvkvIV -> sw_pvkv_III
score=0.667 | Sweden/PvkvIII -> sw_pvkv_III
score=0.714 | Sweden/▄CometI -> sw_a_34_comet
score=0.737 | Sweden/Strf9040BILL -> sw_strf_90b
score=0.778 | Sweden/▄KV-1m1942 -> sw_kv_1_1942_fin
score=0.750 | Sweden/EldE98 -> sw_eldenhet_98
score=0.700 | Sweden/NASAMS3(TADS) -> sw_nasams_fcs
score=0.727 | USA/M18GMC -> us_xm1_gm
score=0.667 | USA/M4A3(105) -> us_m4a3_105_sherman
score=0.727 | USA/M10GMC -> us_xm1_gm
score=0.667 | USA/M4A1(76)W -> us_m4a1_76w_sherman
score=0.750 | USA/M4A1 -> us_m6a1
score=0.667 | USA/M4A2(76)W -> us_m4a2_76w_sherman
score=0.667 | USA/M36GMC -> us_m36
score=0.727 | USA/M41A1 -> us_m109a1
score=0.750 | USA/M4A2 -> us_m2a2
score=0.727 | USA/T26E1-1 -> us_t32e1
score=0.800 | USA/M4 -> us_m44
score=0.750 | USA/M26 -> us_xm246
score=0.750 | USA/M46 -> us_xm246
score=0.750 | USA/M5A1 -> us_m551
score=0.696 | USA/M1A2SEPV2 -> us_m1a2_sep2_abrams
score=0.667 | USA/M13MGMC -> us_xm1_gm
score=0.706 | USA/M1A1AIM -> us_m1a1_abrams
score=0.667 | USA/M50 -> us_m10
score=0.700 | USA/M1A2SEP -> us_m1a2_sep_abrams
score=0.769 | USA/M60A1(AOS) -> us_m60a1
score=0.750 | USA/M42 -> us_m4_t26
score=0.750 | USA/M1A1HC -> us_m1a1_hc_usmc
score=0.800 | USA/M1A1 -> us_m109a1
score=0.667 | USA/M56 -> us_m551_76
score=0.667 | USA/M2 -> us_m2a4
score=0.750 | USA/M163 -> us_m103
score=0.667 | USA/M16MGMC -> us_xm1_gm
score=0.667 | USA/M15CGMC -> us_xm1_gm
score=0.727 | USA/120S -> us_m60_120s
score=0.737 | USA/M60A1RISE(P) -> us_m60a3_slep
score=0.769 | USA/M1128 -> us_m1128_mgs
score=0.778 | USA/M3A1(USMC) -> us_m1a1_hc_usmc
score=0.759 | USA/M18""BlackCat -> us_m18_hellcat_black_cat
score=0.750 | USA/IPM1 -> pbm_1
score=0.818 | USA/M10Booker -> us_m10_booker_late
score=0.750 | USA/◍M1A1HC -> us_m1a1_hc_usmc
score=0.667 | USA/Hellcat(Hell) -> us_m18_hellcat
score=0.700 | USA/Sherman(Hell) -> us_m4_sherman
score=0.750 | USA/EFV -> us_efv_p1
score=0.714 | USA/▃GrantI -> us_mk1_grant
score=0.727 | USA/M26E1 -> us_m6a2e1
score=0.727 | USA/M901 -> us_m901_itv
score=0.667 | USA/M4A5 -> us_m4a5_ram_2
score=0.727 | USA/M8A1GMC -> us_m8a1
score=0.700 | USA/NASAMS3(TADS) -> us_nasams_fcs
score=0.667 | USA/M24(TL) -> us_m2a4
score=0.667 | USA/M8LAC -> us_m8a1
score=0.667 | USA/M60AMBT -> us_m60a1
score=0.769 | USA/LOSAT -> us_losat_ccv
score=0.727 | USA/M728CEV -> us_m728
score=0.667 | USA/M5A1TD -> us_m5a1_stuart_td
score=0.800 | USA/␙M1A1 -> us_m109a1
score=0.750 | USSR/T-34-57 -> ussr_t_35
score=0.667 | USSR/IS-2 -> ussr_is_3
score=0.750 | USSR/T-90M -> ussr_t_90a
score=0.750 | USSR/T-64B -> ussr_t_26_4
score=0.800 | USSR/SU-76M -> ussr_su_76d
score=0.800 | USSR/T-72B3A -> ussr_t_72b
score=0.667 | USSR/2S6 -> ussr_2s1
score=0.818 | USSR/ZiS-12(94-KM) -> ussr_zis_12_94KM_1945
score=0.667 | USSR/T-70 -> ussr_t_80
score=0.769 | USSR/GAZ-AAA(4M) -> ussr_gaz_4m
score=0.667 | USSR/T-60 -> ussr_t_80
score=0.800 | USSR/T-34-85('45) -> ussr_t_34_85_d_5t
score=0.750 | USSR/T-44(FM) -> ussr_t_44
score=0.667 | USSR/▂M4A2 -> mi_4av
score=0.750 | USSR/IS-1('45) -> ussr_is_1
score=0.800 | USSR/▂T-III -> ussr_t_35
score=0.769 | USSR/T-34(1stGv.T.Br.) -> ussr_t_26_1940_1st_GvTBr
score=0.800 | USSR/T-126 -> ussr_t_126sp
score=0.667 | USSR/IS-2No.321 -> ussr_is_2_1944_321
score=0.800 | USSR/▂T-V -> ussr_t_35
score=0.667 | USSR/Garford -> ussr_garford_putilov
score=0.714 | USSR/▂MK-II""Matilda -> ussr_a_12_mk_2_matilda_2A_F96
score=0.744 | USSR/▂M3Medium -> us_m2_medium
score=0.714 | USSR/BT-7TD -> ussr_bt_7_1937_td
score=0.750 | USSR/▂MK-IX""Valentine -> ussr_valentine_mk_9
